出資元・企業ID,出資元・企業名,company_id,company_name,corporate_number,corporate_name,location,status,number_of_activity,update_date,LocName,lon,lat,iConf,iLvl,count
3399.0,エムスリー,3399.0,エムスリー,1010401063016,エムスリー株式会社,東京都港区赤坂１丁目１１番４４号,-,89,2018-04-26T00:00:00+09:00,東京都/港区/赤坂/１丁目/１１番,139.7419285328944,35.66845009206518,5.0,7.0,1
19185.0,オリエンタルランド・イノベーションズ,19185.0,オリエンタルランド・イノベーションズ,8040001113905,株式会社オリエンタルランド・イノベーションズ,千葉県浦安市美浜１丁目８番１号,-,2,2020-06-12T00:00:00+09:00,千葉県/浦安市/美浜/１丁目/８番/１号,139.9125147776263,35.65147658627542,5.0,8.0,1
15513.0,GO,15513.0,GO,1000020230006,愛知県,愛知県名古屋市中区三の丸３丁目１−２,-,1571,2018-04-05T00:00:00+09:00,愛知県/名古屋市/中区/三の丸/３丁目/１番/２号,136.90684062411557,35.180212425957585,5.0,8.0,1
20704.0,ヒューリック,20704.0,ヒューリック,9010001008702,ヒューリック株式会社,東京都中央区日本橋大伝馬町７番３号,-,72,2018-04-10T00:00:00+09:00,東京都/中央区/日本橋大伝馬町/７番/３号,139.7793444954185,35.68993868174575,5.0,8.0,1
20084.0,セブン-イレブン・ジャパン,20084.0,セブン-イレブン・ジャパン,1010001088181,株式会社セブン−イレブン・ジャパン,東京都千代田区二番町８番地８,-,522,2018-05-22T00:00:00+09:00,東京都/千代田区/二番町/８番,139.73432848737082,35.68555796498089,5.0,7.0,1
23518.0,エー・ピーホールディングス,23518.0,エー・ピーホールディングス,6010401066278,株式会社エー・ピーホールディングス,東京都港区高輪３丁目２５番２３号京急第２ビル１Ｆ,-,2,2020-10-12T00:00:00+09:00,東京都/港区/高輪/３丁目/２５番/２３号,139.73789039152535,35.630784216177204,5.0,8.0,1
21646.0,ユニアデックス,21646.0,ユニアデックス,8010601024653,ユニアデックス株式会社,東京都江東区豊洲１丁目１番１号,-,105,2021-07-26T00:00:00+09:00,東京都/江東区/豊洲/１丁目/１番/１号,139.7907547338547,35.660082343515555,5.0,8.0,1
3051.0,ディー・エヌ・エー,3051.0,ディー・エヌ・エー,4011001032721,株式会社ディー・エヌ・エー,東京都渋谷区渋谷２丁目２４番１２号,-,2527,2021-08-31T00:00:00+09:00,東京都/渋谷区/渋谷/２丁目/２４番,139.70173232130335,35.65898007836922,5.0,7.0,1
6590.0,朝日メディアラボベンチャーズ,6590.0,朝日メディアラボベンチャーズ,6010001182665,朝日メディアラボベンチャーズ株式会社,東京都中央区築地５丁目３番３号,-,1,2019-06-26T00:00:00+09:00,東京都/中央区/築地/５丁目/３番/３号,139.76618667897327,35.66345130507208,5.0,8.0,1
23561.0,南国殖産,23561.0,南国殖産,7340001003201,南国殖産株式会社,鹿児島県鹿児島市中央町１８番地１,-,172,2018-12-26T00:00:00+09:00,鹿児島県/鹿児島市/中央町/１８−１番地,130.54392758569577,31.582952441767787,4.0,8.0,1
23562.0,エースシステム,23562.0,エースシステム,5120101041174,エースシステム株式会社,大阪府和泉市あゆみ野３丁目１番３,-,20,2020-04-20T00:00:00+09:00,大阪府/和泉市/あゆみ野/３丁目,135.44796362335913,34.440931534967824,5.0,6.0,1
23563.0,CANホールディングス,23563.0,CANホールディングス,7260001011641,ＣＡＮホールディングス株式会社,岡山県岡山市北区芳賀５３１６番地,-,1,2020-05-29T00:00:00+09:00,岡山県/岡山市/北区/芳賀/５３１６,133.8781227451863,34.725453730199156,5.0,7.0,1
6636.0,百五銀行,6636.0,百五銀行,5190001000892,株式会社百五銀行,三重県津市岩田２１番２７号,-,225,2018-06-05T00:00:00+09:00,三重県/津市/岩田/２１番/２７号,136.5084219007972,34.713585606190335,5.0,8.0,1
3718.0,プレイド,3718.0,プレイド,7010401096035,株式会社プレイド,東京都中央区銀座６丁目１０番１号ＧＩＮＺＡＳＩＸ１０階,-,103,2018-07-17T00:00:00+09:00,東京都/中央区/銀座/６丁目/１０番/１号,139.76397660979515,35.669810531094335,5.0,8.0,1
